y
0.022
0.024
0.032
0.036
0.039
0.04
0.042
0.041
0.038
0.034
0.028
0.027
0.032
0.034
0.047
0.052
0.057
0.058
0.06
0.06
0.055
0.05
0.041
0.039
0.044
0.048
0.066
0.073
0.08
0.081
0.085
0.084
0.077
0.07
0.057
0.055
0.071
0.077
0.106
0.117
0.129
0.13
0.136
0.135
0.123
0.112
0.092
0.087
0.095
0.102
0.141
0.155
0.171
0.173
0.182
0.18
0.164
0.149
0.123
0.116
0.145
0.157
0.216
0.238
0.264
0.266
0.279
0.276
0.252
0.229
0.188
0.179
0.237
0.257
0.354
0.391
0.432
0.439
0.459
0.455
0.413
0.376
0.307
0.291
0.388
0.42
0.577
0.638
0.703
0.711
0.749
0.74
0.676
0.614
0.504
0.476
0.468
0.505
0.697
0.77
0.848
0.857
0.897
0.889
0.812
0.74
0.607
0.575
0.593
0.629
0.895
0.977
1.075
1.088
1.132
1.121
1.022
0.966
0.778
0.716
0.75
0.802
1.13
1.226
1.363
1.36
1.418
1.393
1.275
1.179
0.946
0.88
1.058
1.167
1.599
1.742
1.923
1.929
2
1.959
1.775
1.629
1.297
1.191
1.145
1.279
1.84
1.999
2.235
2.265
2.369
2.311
2.091
1.881
1.457
1.295
1.355
1.437
2.047
2.231
2.471
2.487
2.566
2.488
2.248
2.039
1.608
1.452
1.53
1.625
2.326
2.544
2.824
2.851
2.945
2.851
2.577
2.329
1.812
1.627
1.755
1.945
2.673
2.905
3.226
3.273
3.418
3.296
2.963
2.685
2.089
1.885
1.993
2.128
3.027
3.3
3.64
3.649
3.736
3.64
