y
5999
18538
13516
14928
14337
14206
15286
16538
16994
13545
15448
20265
5859
12006
14431
19373
12811
18436
14316
17031
16128
14198
17406
18687
8831
18536
18144
15360
19566
18058
19393
22389
16664
15322
14803
22839
9507
23261
24843
21030
20586
22426
21142
24148
19618
20664
19958
25265
12368
22333
20546
17727
18851
19422
21137
22552
18603
21403
24045
20323
10394
17116
17345
17405
17512
18364
18083
15455
9359
12409
15354
18558
6034
18117
15035
15449
14739
18815
17965
14131
14439
14883
27013
18421
7652
17936
16133
20564
21636
29287
13387
12850
17298
25340
29063
23764
7538
13379
16147
17280
13786
21161
12352
13803
15493
17894
21313
20618
9825
15661
15542
18983
21367
16027
15984
16657
18517
19707
26257
24591
8543
17970
18154
18147
19534
21340
14329
14490
16260
17718
19847
21684
