y
162.518
153.759
156.994
151.019
154.153
151.586
159.215
158.659
152.808
157.214
152.53
160.295
170.915
149.648
158.205
152.179
156.032
155.271
164.518
163.552
159.264
165.145
162.144
168.863
166.364
151.614
163.862
160.712
162.222
158.019
165.408
163.064
158.665
166.726
165.898
175.413
186.135
163.637
170.853
169.161
172.651
163.773
170.695
170.751
163.165
171.863
168.827
163.614
158.795
148.396
159.598
152.401
159.05
159.591
170.649
174.06
165.765
173.933
172.441
177.768
194.785
179.413
197.785
190.466
193.021
191.139
197.776
199.176
194.227
199.827
198.872
206.987
209.042
186.355
203.086
192.144
194.716
198.315
201.189
202.272
196.367
200.42
203.727
213.257
208.872
195.373
200.899
191.354
200.614
195.076
197.451
200.798
193.007
197.909
197.209
204.117
204.411
185.058
202.865
197.366
205.421
203.855
213.432
207.521
196.728
207.317
207.26
218.053
209.709
189.844
208.594
203.374
206.705
206.743
213.252
212.053
200.73
208.451
206.005
218.733
215.448
193.059
207.357
202.745
209.795
205.794
213.177
211.704
202.523
206.956
207.313
215.484
212.128
199.811
209.618
196.409
206.979
205.276
211.42
212.508
199.777
206.662
208.036
234.113
213.549
193.247
211.837
199.179
206.466
205.395
211.153
214.78
198.359
208.158
210.376
217.101
